iter	Passed	Remaining
412	1374	1287
413	1377	1283
414	1380	1280
415	1383	1276
416	1386	1273
417	1390	1270
418	1394	1267
419	1397	1264
420	1401	1261
421	1404	1257
422	1407	1254
423	1410	1250
424	1413	1247
425	1416	1243
426	1420	1240
427	1423	1237
428	1426	1233
429	1429	1230
430	1432	1226
431	1436	1223
432	1440	1220
433	1443	1217
434	1447	1214
435	1450	1210
436	1453	1207
437	1455	1202
438	1458	1199
439	1461	1195
440	1464	1192
441	1466	1187
442	1469	1184
443	1472	1180
444	1475	1177
445	1478	1173
446	1481	1170
447	1485	1166
448	1488	1163
449	1491	1160
450	1495	1157
451	1498	1153
452	1501	1150
453	1505	1147
454	1509	1144
455	1512	1141
456	1516	1138
457	1518	1133
458	1520	1129
459	1524	1126
460	1527	1123
461	1528	1118
462	1531	1115
463	1535	1111
464	1538	1108
465	1541	1105
466	1544	1101
467	1547	1097
468	1550	1094
469	1553	1090
470	1557	1087
471	1560	1084
472	1563	1080
473	1567	1077
474	1570	1074
475	1573	1071
476	1576	1067
477	1579	1063
478	1582	1060
479	1585	1057
480	1589	1053
481	1591	1049
482	1594	1046
483	1596	1042
484	1598	1038
485	1601	1034
486	1604	1031
487	1607	1027
488	1610	1024
489	1613	1021
490	1617	1017
491	1621	1014
492	1624	1011
493	1627	1008
494	1631	1004
495	1633	1001
496	1637	998
497	1640	994
498	1643	991
499	1647	988
500	1650	984
501	1653	981
502	1657	978
503	1660	975
504	1661	970
505	1663	966
506	1666	963
507	1670	959
508	1673	956
509	1676	953
510	1679	949
511	1682	946
512	1685	943
513	1688	939
514	1690	935
515	1693	932
516	1697	929
517	1700	925
518	1703	922
519	1706	919
520	1710	915
521	1713	912
522	1717	909
523	1720	906
524	1723	902
525	1726	899
526	1729	896
527	1733	892
528	1736	889
529	1739	886
530	1742	882
531	1745	879
532	1748	876
533	1752	872
534	1755	869
535	1759	866
536	1762	863
537	1766	860
538	1769	856
539	1772	853
540	1775	849
541	1779	847
542	1783	844
543	1786	840
544	1790	837
545	1793	834
546	1796	830
547	1799	827
548	1802	824
549	1805	820
550	1808	817
551	1811	813
552	1814	810
553	1818	807
554	1821	803
555	1824	800
556	1827	797
557	1830	794
558	1834	790
559	1837	787
560	1840	784
561	1844	780
562	1847	777
563	1850	774
564	1853	771
565	1857	767
566	1860	764
567	1863	761
568	1866	757
569	1870	754
570	1873	751
571	1876	748
572	1879	744
573	1882	741
574	1886	738
575	1889	734
576	1893	731
577	1896	728
578	1900	725
579	1903	722
580	1906	718
581	1910	715
582	1913	712
583	1916	708
584	1920	705
585	1923	702
586	1926	699
587	1929	695
588	1933	692
589	1937	689
590	1940	686
591	1944	683
592	1947	679
593	1950	676
594	1953	673
595	1956	669
596	1959	666
597	1963	663
598	1965	659
599	1969	656
600	1973	653
601	1976	650
602	1979	646
603	1983	643
604	1986	640
605	1989	637
606	1993	633
607	1997	630
608	2000	627
609	2004	624
610	2007	620
611	2010	617
612	2014	614
613	2017	611
614	2020	607
615	2023	604
616	2027	601
617	2029	597
618	2032	594
619	2036	591
620	2039	587
621	2043	584
622	2047	581
623	2050	578
624	2054	575
625	2057	572
626	2061	568
627	2065	565
628	2069	562
629	2073	559
630	2076	556
631	2079	552
632	2083	549
633	2086	546
634	2090	543
635	2093	539
636	2097	536
637	2100	533
638	2103	530
639	2106	526
640	2109	523
641	2112	520
642	2116	516
643	2119	513
644	2123	510
645	2127	507
646	2130	503
647	2134	500
648	2137	497
649	2140	493
650	2143	490
651	2147	487
652	2150	484
653	2154	480
654	2157	477
655	2160	474
656	2164	471
657	2167	467
658	2171	464
659	2174	461
660	2177	457
661	2181	454
662	2184	451
663	2187	448
664	2191	444
665	2194	441
666	2197	438
667	2200	434
668	2204	431
669	2208	428
670	2211	425
671	2214	421
672	2217	418
673	2221	415
674	2224	411
675	2227	408
676	2230	405
677	2233	401
678	2237	398
679	2241	395
680	2245	392
681	2248	389
682	2252	385
683	2255	382
684	2259	379
685	2263	376
686	2267	372
687	2271	369
688	2274	366
689	2279	363
690	2282	360
691	2286	356
692	2290	353
693	2295	350
694	2298	347
695	2302	344
696	2305	340
697	2309	337
698	2313	334
699	2317	331
700	2321	327
701	2324	324
702	2328	321
703	2332	318
704	2335	314
705	2338	311
706	2341	308
707	2345	304
708	2348	301
709	2352	298
710	2355	294
711	2359	291
712	2362	288
713	2365	284
714	2369	281
715	2372	278
716	2376	275
717	2379	271
718	2383	268
719	2387	265
720	2390	261
721	2393	258
722	2397	255
723	2400	251
724	2403	248
725	2407	245
726	2411	242
727	2414	238
728	2417	235
729	2420	232
730	2424	228
731	2427	225
732	2430	222
733	2434	218
734	2437	215
735	2441	212
736	2444	208
737	2448	205
738	2451	202
739	2454	198
740	2457	195
741	2460	192
742	2464	189
743	2467	185
744	2471	182
745	2474	179
746	2477	175
747	2480	172
748	2484	169
749	2488	165
750	2491	162
751	2495	159
752	2498	155
753	2501	152
754	2504	149
755	2507	145
756	2510	142
757	2513	139
758	2517	135
759	2520	132
760	2524	129
761	2527	126
762	2531	122
763	2534	119
764	2538	116
765	2541	112
766	2544	109
767	2547	106
768	2550	102
769	2554	99
770	2557	96
771	2561	92
772	2565	89
773	2568	86
774	2572	82
775	2574	79
776	2578	76
777	2581	73
778	2585	69
779	2589	66
780	2592	63
781	2595	59
782	2598	56
783	2601	53
784	2605	49
785	2608	46
786	2611	43
787	2614	39
788	2617	36
789	2621	33
790	2624	29
791	2627	26
792	2630	23
793	2634	19
794	2637	16
795	2640	13
796	2644	9
797	2647	6
798	2650	3
799	2653	0
