iter	RMSE
159	1542.731397
160	1537.530197
161	1531.129942
162	1525.280282
163	1509.415293
164	1494.664869
165	1490.54195
166	1472.201478
167	1466.982842
168	1462.726899
169	1455.635714
170	1451.523643
171	1446.853292
172	1441.40424
173	1437.657466
174	1424.666167
175	1418.983825
176	1413.503276
177	1409.360296
178	1396.194073
179	1382.410297
180	1377.145743
181	1362.723783
182	1354.050555
183	1349.113638
184	1335.463624
185	1323.098133
186	1318.066903
187	1302.942201
188	1290.651614
189	1285.278067
190	1274.226042
191	1268.98701
192	1256.964119
193	1252.666328
194	1247.113001
195	1242.763999
196	1239.465125
197	1226.771478
198	1221.726361
199	1217.098619
200	1205.786826
201	1198.653217
202	1194.290097
203	1190.70872
204	1180.884984
205	1173.193178
206	1169.126552
207	1163.043388
208	1150.941681
209	1140.673794
210	1137.790992
211	1126.504336
212	1123.618906
213	1116.5148
214	1112.758547
215	1108.021726
216	1104.705702
217	1095.25302
218	1090.047175
219	1085.699318
220	1082.691796
221	1073.877658
222	1070.920259
223	1067.475916
224	1056.659832
225	1053.350564
226	1049.691514
227	1045.220726
228	1035.163561
229	1032.574367
230	1029.041087
231	1024.431232
232	1021.898713
233	1017.246416
234	1009.230602
235	1005.743511
236	1002.479389
237	993.5984408
238	990.2343348
239	981.5238669
240	970.8530585
241	967.1023355
242	963.4930841
243	960.068206
244	956.8665989
245	949.3176428
246	939.6687552
247	929.9361357
248	920.6346926
249	911.0578815
250	907.7337775
251	904.2232526
252	901.4448694
253	898.6759919
254	895.9678171
255	891.2208249
256	888.402287
257	886.1927768
258	883.385387
259	880.5762733
260	877.7621742
261	874.3795549
262	866.049762
263	863.1360134
264	861.1591252
265	853.5421578
266	850.1551112
267	846.7268205
268	843.910176
269	841.0952575
270	834.2591887
271	831.8787575
272	829.1747205
273	827.1912896
274	824.6113485
275	822.4874088
276	820.3194904
277	813.4375338
278	811.5049796
279	809.2936048
280	806.3453087
281	803.0482944
282	800.8338371
283	798.7353257
284	796.7273998
285	794.237179
286	792.2145525
287	784.480057
288	776.8996843
289	769.5299924
290	766.468749
291	762.8157725
292	760.7619171
293	758.7305801
294	756.808376
295	750.0314404
296	748.2653864
297	746.2819347
298	743.5483466
299	737.0629318
300	734.9809956
301	728.6058864
302	726.3480653
303	724.3032293
304	722.4474602
305	720.8657147
306	719.0326907
307	712.3568532
308	710.5007214
309	708.3316714
310	702.0956522
311	700.4813164
312	698.7795201
313	692.7303899
314	686.6766895
315	684.1691955
316	682.7114144
317	677.4118188
318	675.6942992
319	669.9540117
320	668.381834
321	666.7305109
322	665.4786346
323	663.8324395
324	662.0738258
325	659.7754043
326	658.4727016
327	653.545705
328	647.9775289
329	646.5677219
330	642.7447158
331	641.3552798
332	637.7970795
333	632.7882069
334	628.427311
335	626.9459632
336	625.642707
337	624.3825284
338	623.0424078
339	621.6131396
340	620.2550821
341	615.3751411
342	610.5167719
343	609.4252537
344	605.2852742
345	604.0890298
346	602.9156429
347	598.5697206
348	597.4535535
349	596.5101089
350	595.187127
351	593.9930644
352	593.0493634
353	588.9095008
354	584.9441939
355	581.2811684
356	580.1966822
357	579.3487423
358	578.3936074
359	574.7502188
360	571.0431632
361	570.1972125
362	566.2366696
363	565.3451706
364	562.2262694
365	558.6435194
366	557.8604971
367	556.9398818
368	555.938373
369	555.1641526
370	554.4223981
371	550.5534632
372	547.0004575
373	544.1197185
374	540.8592829
375	540.0543152
376	537.0775433
377	536.2902357
378	535.532049
379	534.8229269
380	532.09191
381	531.4136336
382	530.4629775
383	529.5203876
384	528.4503485
385	527.3998596
386	526.5804168
387	523.3614847
388	520.8391278
389	520.171623
390	519.505152
391	515.609766
392	515.0299447
393	512.3590864
394	511.558123
395	510.6306228
396	508.0798741
397	507.4756613
398	506.8427787
399	505.9434954
400	502.2702585
401	501.4050838
402	500.8324181
403	498.0136944
404	497.403965
405	496.8631285
406	495.9941406
407	495.4503915
408	493.0011398
409	492.4632514
410	489.074752
411	485.854453
412	485.0100723
413	482.3262154
414	481.3226288
415	478.5558732
416	477.9394243
417	477.3012989
418	474.7255124
419	473.9992075
420	473.2058326
421	472.7796765
422	470.3190964
423	467.6634953
424	466.9112045
425	466.1754218
426	463.3658823
427	462.6055971
428	462.226217
429	459.9765537
430	459.3995867
431	458.9283603
432	458.5448217
433	456.9346081
434	455.1010632
435	452.6948242
436	450.3561675
437	450.0100341
438	449.6191441
439	449.2139922
440	446.5444527
441	446.2157775
442	444.2034333
443	441.9502311
444	441.5967163
445	439.8715816
446	437.7307056
447	437.4074677
448	436.9500958
449	436.6138938
450	434.3844685
451	432.3922151
452	430.7039585
453	428.8960111
454	426.8261174
455	424.8729205
456	424.5661768
457	424.290418
458	422.7407426
459	422.4746373
460	420.8787911
461	420.6171346
462	419.1143998
463	418.8422837
464	417.2222174
465	416.9667164
466	416.7036348
467	415.2577043
468	414.8773953
469	412.7322718
470	412.4948682
471	411.0008342
472	409.3415641
473	409.102892
474	408.8881719
475	407.2003881
476	406.9607058
477	405.4500624
478	404.0986956
479	402.1028984
480	401.8782541
481	401.6522783
482	401.2967323
483	401.0775623
484	400.8753976
485	398.5862909
486	398.3929735
487	397.1094615
488	396.9221625
489	396.7410308
490	395.0294363
491	394.8443964
492	393.735926
493	392.0510692
494	389.9431712
495	389.7561861
496	389.566763
497	388.5182684
498	387.0897377
499	386.8083561
500	386.6400487
501	385.5942687
502	383.6568191
503	382.6356579
504	382.4058728
505	382.1811035
506	380.8523812
507	379.6391863
508	378.2625913
509	377.5126251
510	377.1471304
511	376.9989883
512	376.5584677
513	375.041191
514	374.8830071
515	373.0768616
516	371.3110509
517	370.609865
518	369.4524104
519	368.2100464
520	367.2999908
521	366.4600557
522	364.9863087
523	363.2967083
524	362.6259559
525	360.9671456
526	360.8186718
527	359.7091028
528	358.3870329
529	357.5397133
530	357.2584514
531	356.3940536
532	355.4544409
533	354.3803267
534	353.3178147
535	352.4197215
536	351.4111203
537	351.2992825
538	350.6589635
539	349.9931839
540	348.3138193
541	347.8755253
542	347.0336709
543	346.6241936
544	346.3785678
545	346.2307247
546	344.9532607
547	344.6734544
548	344.4835189
549	344.3044306
550	343.5166307
551	342.9154685
552	342.3434069
553	341.806354
554	340.649743
555	340.4137461
556	340.1684876
557	339.3129227
558	338.1852095
559	337.0720748
560	336.8440486
561	336.1827578
562	335.4141152
563	334.7459393
564	334.213645
565	333.5427129
566	333.4351803
567	333.2232177
568	332.6299434
569	331.4089566
570	330.4932582
571	330.2959269
572	330.0781716
573	329.9802377
574	329.2031072
575	328.3106266
576	327.6231301
577	326.7492157
578	325.5922422
579	325.065797
580	324.5581485
581	324.0092379
582	323.0112824
583	322.6665455
584	322.0291838
585	321.3643137
586	320.5105171
587	319.9715886
588	319.1664187
589	318.2350002
590	317.1927545
591	316.8836255
592	316.2681885
593	315.4954089
594	315.0798061
595	314.2030203
596	313.2862396
597	312.2710091
598	311.1763461
599	310.7308832
600	310.5265187
601	309.3912168
602	308.8100511
603	308.6589
604	308.5367292
605	307.6284811
606	306.8369575
607	306.1903724
608	305.6732149
609	305.2815285
610	304.3139091
611	303.4598156
612	302.9442482
613	302.201474
614	301.0572185
615	300.8419814
616	300.0284613
617	299.2370934
618	298.5453386
619	298.4589864
620	297.8301123
621	297.3326638
622	296.8566823
623	296.7092348
624	296.0694972
625	294.9322954
626	294.5483494
627	293.532032
628	293.121489
629	292.8639181
630	291.8852537
631	291.1038215
632	290.8206653
633	289.8427663
634	289.293429
635	288.5636528
636	288.1206912
637	287.539597
638	287.207153
639	286.7389003
640	286.4788015
641	285.656374
642	284.9271429
643	284.1927957
644	283.0833036
645	281.9180448
646	281.6656311
647	281.1104753
648	280.1217108
649	279.880496
650	279.2528922
651	278.3942515
652	277.4373792
653	276.9337072
654	276.1565823
655	275.5242079
656	274.7245623
657	274.4983624
658	273.7614286
659	273.1215349
660	272.1322738
661	271.7801787
662	271.1975703
663	270.3913614
664	269.9230526
665	269.3816057
666	268.6503125
667	267.4337492
668	266.5089043
669	265.6251476
670	265.2657851
671	264.6200196
672	263.6886496
673	263.0848927
674	262.745494
675	262.3431199
676	261.5135311
677	260.6411657
678	259.9813931
679	259.87854
680	259.5743501
681	259.183862
682	258.6458882
683	258.437046
684	257.6065081
685	256.8600569
686	256.1541661
687	255.9388534
688	255.1922504
689	254.6739813
690	253.7004549
691	253.2881819
692	252.9161317
693	252.1998418
694	251.4932132
695	251.3791018
696	251.1299979
697	250.3959003
698	249.7004706
699	249.2542839
700	248.7576807
701	248.668534
702	248.0766656
703	247.6126436
704	247.0983123
705	246.7730438
706	246.2872443
707	246.0712168
708	245.873639
709	245.4283628
710	244.9839487
711	244.5333185
712	244.0935053
713	243.5145124
714	242.9989141
715	242.6178477
716	242.0673772
717	241.93481
718	241.526796
719	241.2703787
720	240.872834
721	240.4574074
722	240.3828422
723	240.2114043
724	240.0087139
725	239.7596371
726	239.5025208
727	239.002554
728	238.5831437
729	238.0148433
730	237.3963398
731	237.1555863
732	236.6901938
733	236.4503758
734	235.6983115
735	235.6167847
736	235.5429628
737	235.1418023
738	234.6423771
739	234.523067
740	234.0705591
741	233.9810352
742	233.4642799
743	232.9204834
744	232.8376291
745	232.347304
746	231.7868854
747	231.5442971
748	231.396427
749	230.9417091
750	230.7650705
751	230.3479616
752	230.2855424
753	230.2158675
754	229.700627
755	229.5458367
756	229.0329608
757	228.8905212
758	228.572293
759	228.1084941
760	227.8030791
761	227.2114811
762	226.9902393
763	226.3833748
764	225.9817066
765	225.4891921
766	225.3920879
767	224.9481553
768	224.3642676
769	223.9617952
770	223.4452129
771	223.2739758
772	223.1790185
773	223.1226277
774	222.7481998
775	222.6272534
776	222.5164726
777	222.4491497
778	221.8583702
779	221.4898236
780	220.8304472
781	220.7748611
782	220.3753752
783	219.9328273
784	219.6090422
785	219.471834
786	219.4120152
787	219.3696776
788	218.8386708
789	218.5812404
790	218.1545286
791	217.8718258
792	217.3760235
793	217.1620853
794	216.8852838
795	216.5108733
796	215.9844537
797	215.6638024
798	215.6050579
799	215.4841599
