index,target,actual,predicted,abs_error,percent_error
0,Melt(K),465.0,457.3525781497571,7.647421850242893,1.644606849514597
1,Melt(K),688.0,689.0051314369482,1.0051314369482043,0.14609468560293645
2,Melt(K),821.2,849.698274775511,28.498274775510936,3.4703208445580733
3,Melt(K),1045.0,1056.6162408738335,11.616240873833476,1.1116019974960254
4,Melt(K),1692.0,1740.002642500048,48.00264250004807,2.8370356087498845
5,Melt(K),875.0,875.5276984848834,0.5276984848834445,0.060308398272393586
6,Melt(K),1505.0,1746.6076592123418,241.6076592123418,16.053665063942965
7,Melt(K),1042.7,1046.8283369601786,4.128336960178558,0.39592758800983546
8,Melt(K),1131.2,1121.3143955609062,9.885604439093868,0.8739042113767556
9,Melt(K),1132.0,1124.4417731128879,7.558226887112141,0.6676878875540756
10,Melt(K),1766.0,1615.6099148712738,150.39008512872624,8.515859860063768
11,Melt(K),883.0,872.0915880410398,10.908411958960187,1.2353807428040968
12,Melt(K),1121.2,1077.8384250199815,43.36157498001853,3.8674255244397515
13,Melt(K),987.0,1014.4638537294113,27.463853729411312,2.7825586351987117
14,Melt(K),1534.2,1558.1074293082243,23.90742930822421,1.5582993943569414
15,Melt(K),1073.8,1071.785403790495,2.0145962095050436,0.18761372783619315
16,Melt(K),1268.0,1238.9779660640681,29.02203393593186,2.2888039381649716
17,Melt(K),1031.0,1032.0617128602462,1.061712860246189,0.10297893891815596
18,Melt(K),1650.0,1684.9296020338331,34.929602033833135,2.1169455778080675
19,Melt(K),1075.0,1072.6625588247873,2.337441175212689,0.21743638839187784
20,Melt(K),1735.0,1739.2845418657291,4.284541865729125,0.2469476579670964
21,Melt(K),1040.0,1042.2834302809883,2.283430280988341,0.21956060394118646
22,Melt(K),1699.0,1708.6532105520864,9.65321055208642,0.5681701325536442
23,Melt(K),1146.0,1177.175666723777,31.175666723777113,2.7203897664726955
24,Melt(K),1746.0,1615.0662499212312,130.93375007876875,7.499069305771402
25,Melt(K),1043.0,1035.038044139508,7.961955860492026,0.7633706481775665
26,Melt(K),1384.0,1414.1076608945787,30.107660894578657,2.175409024174757
27,Melt(K),1114.0,1141.3484488800423,27.34844888004227,2.454977457813487
28,Melt(K),861.0,819.6375217072712,41.36247829272884,4.804004447471404
29,Melt(K),1768.2,1775.785615255476,7.585615255475886,0.4290021069718291
30,Melt(K),1309.0,1235.475660797072,73.5243392029281,5.616832635823381
31,Melt(K),710.0,613.4049101205903,96.59508987940967,13.604942236536555
32,Melt(K),1191.0,1184.0892746324653,6.910725367534724,0.5802456227988848
33,Melt(K),452.0,456.36363906735835,4.363639067358349,0.9654068733093671
34,Melt(K),414.0,420.0858847628131,6.085884762813123,1.4700204741094463
35,Melt(K),531.0,529.9760565105212,1.0239434894788246,0.1928330488660683
36,Melt(K),905.0,902.3789079718753,2.6210920281247354,0.2896234285220699
37,Melt(K),942.0,938.955174535838,3.044825464162045,0.3232298794227221
38,Melt(K),972.0,965.9427597799815,6.057240220018457,0.6231728621418159
39,Melt(K),1000.0,996.1976355130545,3.802364486945521,0.3802364486945517
40,Melt(K),1024.0,1021.4056724877992,2.5943275122008345,0.2533522961133625
41,Melt(K),1030.0,1021.988634071934,8.01136592806597,0.7778025172879576
42,Melt(K),992.0,984.7842312744917,7.215768725508269,0.7273960408778489
43,Melt(K),966.0,959.0540103622579,6.945989637742059,0.7190465463501089
44,Melt(K),937.0,932.4258020514726,4.574197948527399,0.4881748077403835
45,Melt(K),945.0,939.9055642080366,5.094435791963406,0.5390937345993017
46,Melt(K),994.0,987.4545933393488,6.545406660651224,0.6584916157596798
47,Melt(K),959.0,956.6763590471883,2.323640952811729,0.24229832667484116
48,Melt(K),897.0,896.3083251947274,0.6916748052725552,0.07710978877063036
49,Melt(K),824.0,829.9404659173028,5.940465917302845,0.7209303297697618
50,Melt(K),815.0,813.8506351562472,1.1493648437527781,0.1410263611966597
51,Melt(K),778.0,774.284707504469,3.7152924955310027,0.47754402256182493
52,Melt(K),755.0,751.0900140368519,3.909985963148074,0.5178789355163005
53,Melt(K),756.0,758.4831757550454,2.4831757550454086,0.32846240146103245
54,Melt(K),761.0,761.0853748418148,0.08537484181476884,0.011218770277893393
55,Melt(K),761.0,755.5748007299658,5.425199270034227,0.7129039776654691
56,Melt(K),752.0,745.9160407464807,6.0839592535193106,0.809037134776503
57,Melt(K),746.0,743.7211629198741,2.278837080125868,0.30547413942705964
58,Melt(K),709.0,702.3662661008918,6.633733899108165,0.9356465301986115
59,Melt(K),704.0,704.2596227824289,0.2596227824288917,0.036878236140467514
60,Melt(K),703.0,699.6708553117983,3.3291446882017226,0.4735625445521647
61,Melt(K),697.6,695.7584262783788,1.8415737216212165,0.2639870587186373
62,Melt(K),842.0,834.5120992125852,7.487900787414787,0.8892993809281209
63,Melt(K),960.0,962.1494335266851,2.1494335266851294,0.22389932569636742
64,Melt(K),992.0,990.6555927120164,1.3444072879835858,0.13552492822415166
65,Melt(K),1012.0,1010.2545826217524,1.7454173782475664,0.1724720729493641
66,Melt(K),1040.0,1034.7121742488148,5.28782575118521,0.5084447837678082
67,Melt(K),1088.0,1089.4036240933158,1.4036240933157842,0.1290095674003477
68,Melt(K),1051.0,1049.0870742912975,1.9129257087024598,0.1820100579165041
69,Melt(K),1039.0,1043.3206864999454,4.3206864999453956,0.41585048122669793
70,Melt(K),1029.0,1034.4088336314646,5.408833631464631,0.5256398086943271
71,Melt(K),999.0,996.7486257559472,2.2513742440528404,0.2253627871924763
72,Melt(K),960.0,964.7679630441927,4.7679630441926975,0.49666281710340543
73,Melt(K),930.0,929.3790507324145,0.6209492675855017,0.06676873845005388
74,Melt(K),874.0,872.471003024146,1.5289969758540565,0.17494244574989185
75,Melt(K),864.0,860.5280408776797,3.4719591223202997,0.4018471206389231
76,Melt(K),815.0,813.3397749276553,1.6602250723447014,0.20370859783370543
77,Melt(K),837.0,836.1799480198122,0.8200519801878272,0.09797514697584543
78,Melt(K),858.0,853.4974090078525,4.502590992147475,0.5247775049122925
79,Melt(K),869.0,867.2957551870985,1.7042448129014929,0.19611562864228893
80,Melt(K),879.0,875.807208304944,3.19279169505603,0.3632299994375457
81,Melt(K),883.0,878.8149584387089,4.1850415612910865,0.4739571417090693
82,Melt(K),883.0,878.8765396338644,4.123460366135646,0.46698305392249617
83,Melt(K),879.0,877.2792631271658,1.720736872834209,0.19576073638614414
84,Melt(K),880.0,876.672592140806,3.327407859193954,0.378114529453858
85,Melt(K),874.0,871.852306402293,2.1476935977069616,0.24573153291841637
86,Melt(K),957.0,955.2660664745486,1.733933525451448,0.18118427643170806
87,Melt(K),993.0,989.2630860262366,3.7369139737634214,0.37632567711615483
