index,target,actual,predicted,abs_error,percent_error
0,Melt(K),465.0,465.74889153246824,0.7488915324682353,0.1610519424662868
1,Melt(K),688.0,687.823108732534,0.17689126746597594,0.025710940038659254
2,Melt(K),821.2,839.2149989623225,18.014998962322466,2.1937407406627427
3,Melt(K),1045.0,1045.2497122006748,0.24971220067482136,0.02389590437079628
4,Melt(K),1692.0,1691.5144924996603,0.485507500339736,0.02869429671038627
5,Melt(K),875.0,875.7189397310614,0.7189397310613685,0.08216454069272774
6,Melt(K),1505.0,1739.375224318264,234.37522431826392,15.573104605864703
7,Melt(K),1042.7,1044.3762604834417,1.676260483441638,0.1607615309716732
8,Melt(K),1131.2,1130.5828182636592,0.6171817363408536,0.054559913042861834
9,Melt(K),1132.0,1130.843968262795,1.1560317372050122,0.10212294498277484
10,Melt(K),1766.0,1558.7872996687606,207.21270033123938,11.733448489877649
11,Melt(K),883.0,883.3922617679865,0.39226176798649703,0.04442375628386145
12,Melt(K),1121.2,1121.086131916695,0.11386808330507847,0.010155911818148268
13,Melt(K),987.0,986.4538608280155,0.5461391719844642,0.055333249441181724
14,Melt(K),1534.2,1535.0253913343604,0.8253913343603472,0.05379946124106027
15,Melt(K),1073.8,1072.7101890907907,1.089810909209291,0.10149105133258428
16,Melt(K),1268.0,1267.6878891739566,0.31211082604340845,0.024614418457682037
17,Melt(K),1031.0,1031.9292191021123,0.9292191021122562,0.09012794394881236
18,Melt(K),1650.0,1658.9307423132982,8.930742313298197,0.5412571098968602
19,Melt(K),1075.0,1075.664520079947,0.6645200799468967,0.06181582139040894
20,Melt(K),1735.0,1733.615709248526,1.3842907514740546,0.07978621045959965
21,Melt(K),1040.0,1039.1069531456592,0.8930468543408097,0.0858698898404624
22,Melt(K),1699.0,1700.4185483798185,1.4185483798185032,0.08349313595164817
23,Melt(K),1146.0,1147.0368424978033,1.0368424978032635,0.09047491254827772
24,Melt(K),1746.0,1526.9142863650154,219.0857136349846,12.547864469357643
25,Melt(K),1043.0,1043.3755623102352,0.37556231023518194,0.036007891681225465
26,Melt(K),1384.0,1382.7265716089557,1.2734283910442628,0.0920107218962617
27,Melt(K),1114.0,1113.3430838372597,0.6569161627403446,0.05896913489590162
28,Melt(K),861.0,861.7393495401078,0.7393495401078098,0.08587102672564564
29,Melt(K),1768.2,1767.8486679729203,0.3513320270797067,0.019869473310694857
30,Melt(K),1309.0,1226.2447184312757,82.75528156872429,6.322023038099635
31,Melt(K),710.0,732.1783969188427,22.178396918842736,3.123717875893339
32,Melt(K),1191.0,1191.8646818331804,0.8646818331803843,0.07260132940221525
33,Melt(K),452.0,450.81603412010116,1.1839658798988353,0.26193935395991874
34,Melt(K),414.0,416.4800915877537,2.480091587753691,0.5990559390709383
35,Melt(K),531.0,528.0242675373938,2.9757324626061745,0.5604015937111428
36,Melt(K),905.0,903.77069043029,1.2293095697100398,0.13583531157016998
37,Melt(K),942.0,942.6122999213625,0.612299921362478,0.06499999165206766
38,Melt(K),972.0,969.3410536965789,2.6589463034210894,0.27355414644249865
39,Melt(K),1000.0,999.2230462668886,0.7769537331114407,0.07769537331114398
