System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
NaF,17,41.9882,Pure Salt,1268,2,Cantor 1961 [30],1978,----,Ruff 1922 [125],2.76,0.000636,1273-1373,1,Paucirova 1970 [111],0.12,26500.0,,,,1273-1373,1,Brockner 1979 [27],1.26,-0.00028,1268.15-1800,20,Gheribi 2014 [58],72.989,,,,5,Obrien 1957 [106],"{'Na': 0.5, 'F': 0.5}"
NdCl3,18,250.599,Pure Salt,1031,2,Druding 1961 [49],1897,10,Glushko 1972 [61],4.26,0.00093,1082-1272,3,Cho 1972 [38],0.0851,36900.0,,,,1030-1237,3,Hayashi 1997 [63],,,----,----,----,,,,,----,----,"{'Nd': 0.25, 'Cl': 0.75}"
NdF3,19,201.2352,Pure Salt,1650,3,Spedding 1971 [132],2573,----,Knacke 1991 [82],,,----,----,----,,,,,,----,----,----,,,----,----,----,184.0,-0.00444,-11924400.0,,----,Spedding 1971 [131],"{'Nd': 0.25, 'F': 0.75}"
NpCl3,20,343.359,Pure Salt,1075,30,Lemire 2001 [89],1800,----,Barin 1977 [8],,,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Np': 0.25, 'Cl': 0.75}"
NpF3,21,293.9952,Pure Salt,1735,30,Lemire 2001 [89],2500,----,Barin 1977 [8],,,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Np': 0.25, 'F': 0.75}"
PuCl3,22,350.359,Pure Salt,1040,2,Bjorklund 1959 [13],2063,----,Barin 1977 [8],,,----,----,----,,,,,,----,----,----,,,----,----,----,144.0,,,,----,Serp 2004 [159],"{'Pu': 0.25, 'Cl': 0.75}"
PuF3,23,300.9952,Pure Salt,1699,2,Westrum 1951 [147],2493,----,Barin 1977 [8],,,----,----,----,,,,,,----,----,----,,,----,----,----,130.0,,,,----,Capelli 2015 [160],"{'Pu': 0.25, 'F': 0.75}"
SrCl2,24,158.526,Pure Salt,1146,2,Dworkin 1963 [52],2310,50,Glushko 1972 [61],3.39,0.000578,1167.2-1310.2,5,Yaffe 1956 [152],,,-0.439,398.0,879000.0,1152-1318,1,Toerklep 1982 [140],0.516,-0.000118,1148.15-1800,20,Gheribi 2014 [58],,,,,----,----,"{'Sr': 0.3333333333333333, 'Cl': 0.6666666666666666}"
SrF2,25,125.6168,Pure Salt,1746,5,Kojima 1968 [83],2762,----,Ruff 1928 [123],4.78,0.000751,1750-2200,3,Kirshenbaum 1960 [80],,,,,,1743.4-1864.6,3,Takeda 2015 [135],0.517,-7.25e-05,1673.15-2000,20,Gheribi 2014 [58],,,,,----,----,"{'Sr': 0.3333333333333333, 'F': 0.6666666666666666}"
ThCl4,26,373.8501,Pure Salt,1043,2,Fischer  1939 [57],1195,----,Fischer  1939 [57],4.82,0.0014,1050-1120,1.5,Oyamada 1969 [108],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Th': 0.2, 'Cl': 0.8}"
