System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
NaF-LiF-KF-UF4,797,44.8461,0.109-0.445-0.435-0.011,725,5*,Cohen 1957 [42],----,----,----,2.65,0.0009,793-1123,3,Cohen 1954 [41],0.0348,35500.0,,,,773-1073,10,Cohen 1957 [42],,,----,----,----,82.0,,,,16,Powers 1956 [113],"{'Na': 0.05361534677816034, 'F': 0.5081160846040335, 'Li': 0.21888834235120508, 'K': 0.21396950319724542, 'U': 0.005410723069355631}"
NaF-LiF-KF-UF4,798,48.1234,0.112-0.453-0.41-0.025,763,5*,Cohen 1957 [42],----,----,----,2.67,0.00072,763-1273,5,Powers 1963 [114],0.0292,37500.0,,,,873-973,10,Cohen 1957 [42],,,----,----,----,,,,,----,----,"{'Na': 0.05397590361445783, 'F': 0.5180722891566265, 'Li': 0.21831325301204818, 'K': 0.1975903614457831, 'U': 0.012048192771084336}"
NaF-LiF-ZrF4-UF4,799,70.3409,0.20-0.55-0.21-0.04,818,5*,Cohen 1957 [42],----,----,----,3.49,0.00085,818-1273,5,Powers 1963 [114],0.0585,38600.0,,,,873-1073,10,Cohen 1957 [42],,,----,----,----,127.0,-0.0437,,,15,Powers 1956 [113],"{'Na': 0.07272727272727274, 'F': 0.6363636363636362, 'Li': 0.2, 'Zr': 0.07636363636363636, 'U': 0.014545454545454545}"
Ag2S,800,----,Pure Salt,----,----,----,----,----,----,7.5329,0.0009132,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'S': 0.3333333333333333}"
Ag2SO4,801,----,Pure Salt,----,----,----,----,----,----,5.843,0.001089,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2857142857142857, 'S': 0.14285714285714285, 'O': 0.5714285714285714}"
Ag2SO4-Li2SO4,802,----,0.0-1.0,----,----,----,----,----,----,2.3824,0.000335,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0, 'S': 0.14285714285714285, 'O': 0.5714285714285714, 'Li': 0.2857142857142857}"
Ag2SO4-Li2SO4,803,----,0.5-0.5,----,----,----,----,----,----,4.4768,0.0009643,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.14285714285714285, 'S': 0.14285714285714285, 'O': 0.5714285714285714, 'Li': 0.14285714285714285}"
Ag2SO4-Li2SO4,804,----,1.0-0.0,----,----,----,----,----,----,5.8436,0.0010895,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2857142857142857, 'S': 0.14285714285714285, 'O': 0.5714285714285714, 'Li': 0.0}"
Ag2Se,805,----,Pure Salt,----,----,----,----,----,----,8.4199,0.0009746,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'Se': 0.3333333333333333}"
Ag2Te,806,----,Pure Salt,----,----,----,----,----,----,8.4178,0.0008125,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'Te': 0.3333333333333333}"
AgBr,807,----,Pure Salt,----,----,----,----,----,----,6.307,0.001035,----,----,----,0.3806,12920.41,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.5}"
AgBr-Ag2Te,808,----,0.0-1.0,----,----,----,----,----,----,8.4178,0.0008125,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'Br': 0.0, 'Te': 0.3333333333333333}"
AgBr-Ag2Te,809,----,0.2-0.8,----,----,----,----,----,----,7.9529,0.0007757,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6428571428571428, 'Br': 0.07142857142857142, 'Te': 0.2857142857142857}"
AgBr-Ag2Te,810,----,0.32-0.68,----,----,----,----,----,----,7.7926,0.000884,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6268656716417911, 'Br': 0.11940298507462686, 'Te': 0.2537313432835821}"
AgBr-Ag2Te,811,----,0.5-0.5,----,----,----,----,----,----,7.3999,0.0008582,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6, 'Br': 0.2, 'Te': 0.2}"
AgBr-Ag2Te,812,----,0.7-0.3,----,----,----,----,----,----,6.9582,0.0009374,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5652173913043478, 'Br': 0.30434782608695654, 'Te': 0.13043478260869565}"
AgBr-Ag2Te,813,----,0.9-0.1,----,----,----,----,----,----,6.2609,0.0008119,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5238095238095238, 'Br': 0.42857142857142855, 'Te': 0.047619047619047616}"
AgBr-Ag2Te,814,----,1.0-0.0,----,----,----,----,----,----,6.3212,0.0010875,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.5, 'Te': 0.0}"
AgBr-AgCl,815,----,0.0-1.0,----,----,----,----,----,----,5.519,0.00094,----,----,----,0.31776,12027.11,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.0, 'Cl': 0.5}"
AgBr-AgCl,816,----,0.227-0.773,----,----,----,----,----,----,5.818,0.00108,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.1135, 'Cl': 0.3865}"
AgBr-AgCl,817,----,0.268-0.732,----,----,----,----,----,----,,,----,----,----,0.30267,12742.17,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.134, 'Cl': 0.366}"
AgBr-AgCl,818,----,0.4-0.6,----,----,----,----,----,----,,,----,----,----,0.22062,15031.69,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.2, 'Cl': 0.3}"
AgBr-AgCl,819,----,0.403-0.597,----,----,----,----,----,----,5.984,0.00112,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.2015, 'Cl': 0.2985}"
AgBr-AgCl,820,----,0.6-0.4,----,----,----,----,----,----,,,----,----,----,0.31178,13358.06,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.3, 'Cl': 0.2}"
AgBr-AgCl,821,----,0.658-0.342,----,----,----,----,----,----,6.124,0.00107,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.329, 'Cl': 0.171}"
AgBr-AgCl,822,----,0.8-0.2,----,----,----,----,----,----,,,----,----,----,0.34041,13109.53,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.4, 'Cl': 0.1}"
AgBr-AgCl,823,----,1.0-0.0,----,----,----,----,----,----,6.31,0.00104,----,----,----,0.39199,12737.15,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.5, 'Cl': 0.0}"
AgBr-CsBr,824,----,0.5-0.5,----,----,----,----,----,----,4.993,0.001272,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.5, 'Cs': 0.25}"
AgBr-CsCl,825,----,0.5-0.5,----,----,----,----,----,----,4.7056,0.0011809,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.25, 'Cs': 0.25, 'Cl': 0.25}"
AgBr-CsCl,826,----,1.0-0.0,----,----,----,----,----,----,6.321,0.00105,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.5, 'Cs': 0.0, 'Cl': 0.0}"
AgBr-HgBr2,827,----,0.0-1.0,----,----,----,----,----,----,,,----,----,----,0.01801,21087.71,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0, 'Br': 0.6666666666666666, 'Hg': 0.3333333333333333}"
AgBr-HgBr2,828,----,0.0014-0.9986,----,----,----,----,----,----,,,----,----,----,0.1264,12409.11,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.00046688454612152337, 'Br': 0.6665110384846262, 'Hg': 0.3330220769692523}"
AgBr-HgBr2,829,----,0.0103-0.9897,----,----,----,----,----,----,,,----,----,----,0.1421,11354.31,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0034451617219118974, 'Br': 0.6655182794260294, 'Hg': 0.33103655885205874}"
AgBr-HgBr2,830,----,0.0232-0.9768,----,----,----,----,----,----,,,----,----,----,0.01167,23057.15,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.007793603869927439, 'Br': 0.6640687987100242, 'Hg': 0.3281375974200484}"
AgBr-HgBr2,831,----,0.0704-0.9296,----,----,----,----,----,----,,,----,----,----,0.02728,19561.36,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.024030584380120155, 'Br': 0.6586564718732933, 'Hg': 0.3173129437465866}"
AgBr-KBr,832,----,0.395-0.605,----,----,----,----,----,----,3.954,0.00098,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1975, 'Br': 0.5, 'K': 0.3025}"
AgBr-KBr,833,----,0.457-0.543,----,----,----,----,----,----,,,----,----,----,0.1208,19324.55,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2285, 'Br': 0.5, 'K': 0.2715}"
AgBr-KBr,834,----,0.552-0.448,----,----,----,----,----,----,,,----,----,----,0.1498,17719.12,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.276, 'Br': 0.5, 'K': 0.224}"
AgBr-KBr,835,----,0.601-0.399,----,----,----,----,----,----,4.657,0.00103,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.3005, 'Br': 0.5, 'K': 0.1995}"
AgBr-KBr,836,----,0.692-0.308,----,----,----,----,----,----,,,----,----,----,0.1681,17098.2,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.346, 'Br': 0.5, 'K': 0.154}"
AgBr-KBr,837,----,0.792-0.208,----,----,----,----,----,----,5.462,0.00112,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.396, 'Br': 0.5, 'K': 0.104}"
AgBr-KBr,838,----,0.797-0.203,----,----,----,----,----,----,,,----,----,----,0.2102,15811.6,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.3985, 'Br': 0.5, 'K': 0.1015}"
AgBr-KBr,839,----,1.0-0.0,----,----,----,----,----,----,6.316,0.00105,----,----,----,0.3806,12920.41,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.5, 'K': 0.0}"
AgBr-KCl,840,----,0.5-0.5,----,----,----,----,----,----,3.9663,0.0009317,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.25, 'K': 0.25, 'Cl': 0.25}"
AgBr-LiBr,841,----,0.5-0.5,----,----,----,----,----,----,4.743,0.000892,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.5, 'Li': 0.25}"
AgBr-LiCl,842,----,0.5-0.5,----,----,----,----,----,----,4.3431,0.0008592,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.25, 'Li': 0.25, 'Cl': 0.25}"
AgBr-LiCl,843,----,1.0-0.0,----,----,----,----,----,----,6.321,0.00105,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.5, 'Li': 0.0, 'Cl': 0.0}"
AgBr-NaBr,844,----,0.5-0.5,----,----,----,----,----,----,4.626,0.001004,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.5, 'Na': 0.25}"
AgBr-NaCl,845,----,0.5-0.5,----,----,----,----,----,----,4.2101,0.0008933,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.25, 'Na': 0.25, 'Cl': 0.25}"
AgBr-RbBr,846,----,0.5-0.5,----,----,----,----,----,----,4.727,0.001156,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.5, 'Rb': 0.25}"
AgBr-RbCl,847,----,0.5-0.5,----,----,----,----,----,----,4.4345,0.0011046,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25, 'Br': 0.25, 'Rb': 0.25, 'Cl': 0.25}"
AgBr-RbCl,848,----,1.0-0.0,----,----,----,----,----,----,6.321,0.00105,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Br': 0.5, 'Rb': 0.0, 'Cl': 0.0}"
AgCl,849,----,Pure Salt,----,----,----,----,----,----,5.505,0.00087,----,----,----,0.3098,12196.56,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Cl': 0.5}"
AgCl-Ag2S,850,----,0.0-1.0,----,----,----,----,----,----,7.5329,0.0009132,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'Cl': 0.0, 'S': 0.3333333333333333}"
AgCl-Ag2S,851,----,0.0202-0.9798,----,----,----,----,----,----,9.4488,0.0025997,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6644070071816901, 'Cl': 0.006778978454929861, 'S': 0.3288140143633801}"
AgCl-Ag2S,852,----,0.145-0.855,----,----,----,----,----,----,6.9369,0.0005199,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.649737302977233, 'Cl': 0.05078809106830122, 'S': 0.29947460595446584}"
AgCl-Ag2S,853,----,0.2169-0.7831,----,----,----,----,----,----,6.8323,0.00055,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6406884409471453, 'Cl': 0.0779346771585642, 'S': 0.28137688189429055}"
AgCl-Ag2S,854,----,0.3441-0.6559,----,----,----,----,----,----,6.5069,0.00045,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6234797996912534, 'Cl': 0.1295606009262397, 'S': 0.24695959938250686}"
AgCl-Ag2S,855,----,0.4656-0.5344,----,----,----,----,----,----,6.5301,0.0006701,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6054292929292929, 'Cl': 0.18371212121212124, 'S': 0.21085858585858588}"
AgCl-Ag2S,856,----,0.6086-0.3914,----,----,----,----,----,----,6.2184,0.00073,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5818349084218449, 'Cl': 0.2544952747344652, 'S': 0.1636698168436899}"
AgCl-Ag2S,857,----,0.677-0.323,----,----,----,----,----,----,6.1122,0.0007399,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5695221696082652, 'Cl': 0.2914334911752045, 'S': 0.13904433921653037}"
AgCl-Ag2S,858,----,0.6999-0.3001,----,----,----,----,----,----,6.0549,0.0007501,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5652362940741706, 'Cl': 0.3042911177774879, 'S': 0.13047258814834137}"
AgCl-Ag2S,859,----,0.7963-0.2037,----,----,----,----,----,----,6.0687,0.00087,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5462177247356719, 'Cl': 0.36134682579298455, 'S': 0.09243544947134365}"
AgCl-Ag2S,860,----,0.943-0.057,----,----,----,----,----,----,5.6412,0.00085,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5138551288283908, 'Cl': 0.4584346135148274, 'S': 0.02771025765678172}"
AgCl-Ag2S,861,----,1.0-0.0,----,----,----,----,----,----,5.5045,0.0008698,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Cl': 0.5, 'S': 0.0}"
AgCl-Ag2Se,862,----,0.0-1.0,----,----,----,----,----,----,8.4199,0.0009746,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'Cl': 0.0, 'Se': 0.3333333333333333}"
AgCl-Ag2Se,863,----,0.3-0.7,----,----,----,----,----,----,7.1012,0.0005093,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6296296296296297, 'Cl': 0.11111111111111112, 'Se': 0.25925925925925924}"
AgCl-Ag2Se,864,----,0.4-0.6,----,----,----,----,----,----,7.0975,0.0006825,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6153846153846154, 'Cl': 0.15384615384615385, 'Se': 0.23076923076923075}"
AgCl-Ag2Se,865,----,0.5-0.5,----,----,----,----,----,----,6.8537,0.0007022,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6, 'Cl': 0.2, 'Se': 0.2}"
AgCl-Ag2Se,866,----,0.6-0.4,----,----,----,----,----,----,6.6984,0.0008273,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5833333333333334, 'Cl': 0.25, 'Se': 0.16666666666666669}"
AgCl-Ag2Se,867,----,0.7-0.3,----,----,----,----,----,----,6.4121,0.0008427,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5652173913043478, 'Cl': 0.30434782608695654, 'Se': 0.13043478260869565}"
AgCl-Ag2Se,868,----,0.9-0.1,----,----,----,----,----,----,6.0941,0.0011108,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5238095238095238, 'Cl': 0.42857142857142855, 'Se': 0.047619047619047616}"
AgCl-Ag2Se,869,----,1.0-0.0,----,----,----,----,----,----,5.4719,0.0008854,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Cl': 0.5, 'Se': 0.0}"
AgCl-Ag2Te,870,----,0.0-1.0,----,----,----,----,----,----,8.4178,0.0008125,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'Cl': 0.0, 'Te': 0.3333333333333333}"
AgCl-Ag2Te,871,----,0.15-0.85,----,----,----,----,----,----,8.0119,0.0007577,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6491228070175439, 'Cl': 0.052631578947368425, 'Te': 0.29824561403508776}"
AgCl-Ag2Te,872,----,0.225-0.775,----,----,----,----,----,----,7.9781,0.0008807,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6396396396396397, 'Cl': 0.08108108108108107, 'Te': 0.27927927927927926}"
AgCl-Ag2Te,873,----,0.33-0.67,----,----,----,----,----,----,7.6632,0.0008465,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6254681647940075, 'Cl': 0.12359550561797751, 'Te': 0.250936329588015}"
AgCl-Ag2Te,874,----,0.45-0.55,----,----,----,----,----,----,7.4291,0.0008967,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6078431372549019, 'Cl': 0.1764705882352941, 'Te': 0.2156862745098039}"
AgCl-Ag2Te,875,----,0.6-0.4,----,----,----,----,----,----,6.9222,0.0008465,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5833333333333334, 'Cl': 0.25, 'Te': 0.16666666666666669}"
AgCl-Ag2Te,876,----,0.675-0.325,----,----,----,----,----,----,6.6613,0.0008281,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5698924731182796, 'Cl': 0.2903225806451613, 'Te': 0.13978494623655913}"
AgCl-Ag2Te,877,----,0.75-0.25,----,----,----,----,----,----,6.4556,0.0008868,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5555555555555556, 'Cl': 0.3333333333333333, 'Te': 0.1111111111111111}"
AgCl-Ag2Te,878,----,0.825-0.175,----,----,----,----,----,----,6.2636,0.0009538,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5402298850574713, 'Cl': 0.37931034482758624, 'Te': 0.08045977011494253}"
AgCl-Ag2Te,879,----,0.9-0.1,----,----,----,----,----,----,5.8137,0.0007993,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5238095238095238, 'Cl': 0.42857142857142855, 'Te': 0.047619047619047616}"
AgCl-Ag2Te,880,----,0.9264-0.0736,----,----,----,----,----,----,5.835,0.00094,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5177469135802469, 'Cl': 0.4467592592592593, 'Te': 0.035493827160493825}"
AgCl-Ag2Te,881,----,1.0-0.0,----,----,----,----,----,----,5.4719,0.0008854,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Cl': 0.5, 'Te': 0.0}"
AgCl-Ag2Te,882,----,96.06-3.04,----,----,----,----,----,----,5.5677,0.0008638,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.507553170343868, 'Cl': 0.4773404889683959, 'Te': 0.015106340687736036}"
AgCl-AgNO3,883,----,0.0-1.0,----,----,----,----,----,----,4.5218,0.0011434,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2, 'Cl': 0.0, 'N': 0.2, 'O': 0.6}"
AgCl-AgNO3,884,----,0.057-0.943,----,----,----,----,----,----,4.5514,0.001136,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2070822116380203, 'Cl': 0.011803686063367158, 'N': 0.19527852557465314, 'O': 0.5858355767239594}"
AgCl-AgNO3,885,----,0.161-0.839,----,----,----,----,----,----,4.6599,0.0011631,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.22138587558113795, 'Cl': 0.03564312596856321, 'N': 0.18574274961257473, 'O': 0.5572282488377241}"
AgCl-AgNO3,886,----,0.232-0.768,----,----,----,----,----,----,4.7017,0.0011365,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.23234200743494424, 'Cl': 0.05390334572490706, 'N': 0.17843866171003717, 'O': 0.5353159851301116}"
AgCl-AgNO3,887,----,0.345-0.655,----,----,----,----,----,----,4.7896,0.0011007,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25220680958385877, 'Cl': 0.08701134930643127, 'N': 0.1651954602774275, 'O': 0.4955863808322825}"
AgCl-AgNO3,888,----,0.428-0.572,----,----,----,----,----,----,4.8674,0.001107,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2691065662002153, 'Cl': 0.11517761033369214, 'N': 0.15392895586652314, 'O': 0.4617868675995694}"
AgCl-KCl,889,----,0.381-0.619,----,----,----,----,----,----,,,----,----,----,0.1377,18002.8,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1905, 'Cl': 0.5, 'K': 0.3095}"
AgCl-KCl,890,----,0.449-0.551,----,----,----,----,----,----,,,----,----,----,0.1327,18111.58,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2245, 'Cl': 0.5, 'K': 0.2755}"
AgCl-KCl,891,----,0.478-0.522,----,----,----,----,----,----,3.526,0.00088,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.239, 'Cl': 0.5, 'K': 0.261}"
AgCl-KCl,892,----,0.679-0.321,----,----,----,----,----,----,,,----,----,----,0.1556,16748.83,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.3395, 'Cl': 0.5, 'K': 0.1605}"
AgCl-KCl,893,----,0.68-0.32,----,----,----,----,----,----,4.263,0.00096,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.34, 'Cl': 0.5, 'K': 0.16}"
AgCl-KCl,894,----,0.806-0.194,----,----,----,----,----,----,4.723,0.00095,----,----,----,0.1907,15490.26,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.403, 'Cl': 0.5, 'K': 0.097}"
AgCl-KCl,895,----,1.0-0.0,----,----,----,----,----,----,5.519,0.00094,----,----,----,0.3098,12196.56,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Cl': 0.5, 'K': 0.0}"
AgCl-PbCl2,896,----,0.0-1.0,----,----,----,----,----,----,6.112,0.0015,----,----,----,0.05619,28292.68,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0, 'Cl': 0.6666666666666666, 'Pb': 0.3333333333333333}"
AgCl-PbCl2,897,----,0.174-0.826,----,----,----,----,----,----,,,----,----,----,0.09628,24015.31,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.06157112526539279, 'Cl': 0.6461429582448691, 'Pb': 0.2922859164897382}"
AgCl-PbCl2,898,----,0.194-0.806,----,----,----,----,----,----,6.056,0.00145,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0691375623663578, 'Cl': 0.6436208125445474, 'Pb': 0.2872416250890948}"
AgCl-PbCl2,899,----,0.291-0.709,----,----,----,----,----,----,6.022,0.00142,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.10741971207087488, 'Cl': 0.630860095976375, 'Pb': 0.2617201919527501}"
AgCl-PbCl2,900,----,0.38-0.62,----,----,----,----,----,----,,,----,----,----,0.1271,21228.72,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1450381679389313, 'Cl': 0.6183206106870229, 'Pb': 0.23664122137404578}"
AgCl-PbCl2,901,----,0.389-0.611,----,----,----,----,----,----,5.948,0.00134,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1489850631941785, 'Cl': 0.6170049789352738, 'Pb': 0.2340099578705477}"
AgCl-PbCl2,902,----,0.466-0.534,----,----,----,----,----,----,5.893,0.00128,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.18389897395422256, 'Cl': 0.6053670086819257, 'Pb': 0.2107340173638516}"
AgCl-PbCl2,903,----,0.574-0.426,----,----,----,----,----,----,5.864,0.00126,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.236603462489695, 'Cl': 0.5877988458367683, 'Pb': 0.1755976916735367}"
AgCl-PbCl2,904,----,0.608-0.392,----,----,----,----,----,----,,,----,----,----,0.1625,18775.6,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25418060200668896, 'Cl': 0.5819397993311036, 'Pb': 0.16387959866220736}"
AgCl-PbCl2,905,----,0.797-0.203,----,----,----,----,----,----,5.682,0.00108,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.36177939173853835, 'Cl': 0.5460735360871538, 'Pb': 0.09214707217430776}"
AgCl-PbCl2,906,----,0.802-0.198,----,----,----,----,----,----,,,----,----,----,0.2411,14976.46,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.36487716105550505, 'Cl': 0.5450409463148317, 'Pb': 0.09008189262966333}"
