System,Mol Mass,Mol Frac,Melt(K),Boil(K),rho_a,rho_b,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,k_a,k_b,cp_a,cp_b,Composition,polarizability_element[10-24Cm3],atomic_mass_element,electronegativity_element,ionic_charge_element,atomic_radius_element[Angstrom],ionic_radius_element[Angstrom],covalent_radius_element[Angstrom],first_ionization_energy[kJ_per_mol],symbol,atomic_radius_components[Angstrom],ionic_polarizability_sum_components,ionic_polarizability_mean_components
BeCl2-KCl,NaN,0.553-0.447,,,2.176,0.00083,,,,,,,,,,"{'Be': 0.21660791226008616, 'Cl': 0.6083039561300431, 'K': 0.17508813160987072}","{'Be': 5.6, 'Cl': 2.18, 'K': 43.4}","{'Be': 9.012, 'Cl': 35.453, 'K': 39.098}","{'Be': 1.57, 'Cl': 3.16, 'K': 0.82}","{'Be': '2+', 'Cl': '1-', 'K': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'K': 2.43}","{'Be': 1.05, 'Cl': 1.0, 'K': 2.2}","{'Be': 0.9, 'Cl': 0.99, 'K': 1.96}","{'Be': 899.5, 'Cl': 1251.2, 'K': 418.8}","{'Be': 'Be', 'Cl': 'Cl', 'K': 'K'}",5.92,49.04043576388889,9.808087152777777
BeCl2-KCl,NaN,0.858-0.142,,,2.209,0.00094,,,,,,,,,,"{'Be': 0.30020993701889437, 'Cl': 0.6501049685094472, 'K': 0.0496850944716585}","{'Be': 5.6, 'Cl': 2.18, 'K': 43.4}","{'Be': 9.012, 'Cl': 35.453, 'K': 39.098}","{'Be': 1.57, 'Cl': 3.16, 'K': 0.82}","{'Be': '2+', 'Cl': '1-', 'K': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'K': 2.43}","{'Be': 1.05, 'Cl': 1.0, 'K': 2.2}","{'Be': 0.9, 'Cl': 0.99, 'K': 1.96}","{'Be': 899.5, 'Cl': 1251.2, 'K': 418.8}","{'Be': 'Be', 'Cl': 'Cl', 'K': 'K'}",5.92,49.04043576388889,9.808087152777777
BeCl2-KCl,NaN,72.2-27.3,,,2.199,0.0009,,,,,,,,,,"{'Be': 0.2662241887905604, 'Cl': 0.6331120943952802, 'K': 0.10066371681415928}","{'Be': 5.6, 'Cl': 2.18, 'K': 43.4}","{'Be': 9.012, 'Cl': 35.453, 'K': 39.098}","{'Be': 1.57, 'Cl': 3.16, 'K': 0.82}","{'Be': '2+', 'Cl': '1-', 'K': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'K': 2.43}","{'Be': 1.05, 'Cl': 1.0, 'K': 2.2}","{'Be': 0.9, 'Cl': 0.99, 'K': 1.96}","{'Be': 899.5, 'Cl': 1251.2, 'K': 418.8}","{'Be': 'Be', 'Cl': 'Cl', 'K': 'K'}",5.92,49.04043576388889,9.808087152777777
BeCl2-NaCl,NaN,0.196-0.804,,,2.139,0.00058,,,,,,,,,,"{'Be': 0.08925318761384335, 'Cl': 0.5446265938069217, 'Na': 0.366120218579235}","{'Be': 5.6, 'Cl': 2.18, 'Na': 23.6}","{'Be': 9.012, 'Cl': 35.453, 'Na': 22.99}","{'Be': 1.57, 'Cl': 3.16, 'Na': 0.93}","{'Be': '2+', 'Cl': '1-', 'Na': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'Na': 1.9}","{'Be': 1.05, 'Cl': 1.0, 'Na': 1.8}","{'Be': 0.9, 'Cl': 0.99, 'Na': 1.54}","{'Be': 899.5, 'Cl': 1251.2, 'Na': 495.8}","{'Be': 'Be', 'Cl': 'Cl', 'Na': 'Na'}",5.390000000000001,29.702491319444448,5.940498263888889
BeCl2-NaCl,NaN,0.372-0.628,,,2.228,0.00074,,,,,,,,,,"{'Be': 0.15682967959527824, 'Cl': 0.5784148397976391, 'Na': 0.26475548060708265}","{'Be': 5.6, 'Cl': 2.18, 'Na': 23.6}","{'Be': 9.012, 'Cl': 35.453, 'Na': 22.99}","{'Be': 1.57, 'Cl': 3.16, 'Na': 0.93}","{'Be': '2+', 'Cl': '1-', 'Na': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'Na': 1.9}","{'Be': 1.05, 'Cl': 1.0, 'Na': 1.8}","{'Be': 0.9, 'Cl': 0.99, 'Na': 1.54}","{'Be': 899.5, 'Cl': 1251.2, 'Na': 495.8}","{'Be': 'Be', 'Cl': 'Cl', 'Na': 'Na'}",5.390000000000001,29.702491319444448,5.940498263888889
BeCl2-NaCl,NaN,0.48-0.52,,,2.175,0.00076,,,,,,,,,,"{'Be': 0.1935483870967742, 'Cl': 0.5967741935483871, 'Na': 0.20967741935483872}","{'Be': 5.6, 'Cl': 2.18, 'Na': 23.6}","{'Be': 9.012, 'Cl': 35.453, 'Na': 22.99}","{'Be': 1.57, 'Cl': 3.16, 'Na': 0.93}","{'Be': '2+', 'Cl': '1-', 'Na': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'Na': 1.9}","{'Be': 1.05, 'Cl': 1.0, 'Na': 1.8}","{'Be': 0.9, 'Cl': 0.99, 'Na': 1.54}","{'Be': 899.5, 'Cl': 1251.2, 'Na': 495.8}","{'Be': 'Be', 'Cl': 'Cl', 'Na': 'Na'}",5.390000000000001,29.702491319444448,5.940498263888889
BeCl2-NaCl,NaN,0.603-0.397,,,2.158,0.0008,,,,,,,,,,"{'Be': 0.23165578179024204, 'Cl': 0.615827890895121, 'Na': 0.152516327314637}","{'Be': 5.6, 'Cl': 2.18, 'Na': 23.6}","{'Be': 9.012, 'Cl': 35.453, 'Na': 22.99}","{'Be': 1.57, 'Cl': 3.16, 'Na': 0.93}","{'Be': '2+', 'Cl': '1-', 'Na': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'Na': 1.9}","{'Be': 1.05, 'Cl': 1.0, 'Na': 1.8}","{'Be': 0.9, 'Cl': 0.99, 'Na': 1.54}","{'Be': 899.5, 'Cl': 1251.2, 'Na': 495.8}","{'Be': 'Be', 'Cl': 'Cl', 'Na': 'Na'}",5.390000000000001,29.702491319444448,5.940498263888889
BeCl2-NaCl,NaN,0.702-0.298,,,2.145,0.00083,,,,,,,,,,"{'Be': 0.2598075499629904, 'Cl': 0.6299037749814952, 'Na': 0.11028867505551443}","{'Be': 5.6, 'Cl': 2.18, 'Na': 23.6}","{'Be': 9.012, 'Cl': 35.453, 'Na': 22.99}","{'Be': 1.57, 'Cl': 3.16, 'Na': 0.93}","{'Be': '2+', 'Cl': '1-', 'Na': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'Na': 1.9}","{'Be': 1.05, 'Cl': 1.0, 'Na': 1.8}","{'Be': 0.9, 'Cl': 0.99, 'Na': 1.54}","{'Be': 899.5, 'Cl': 1251.2, 'Na': 495.8}","{'Be': 'Be', 'Cl': 'Cl', 'Na': 'Na'}",5.390000000000001,29.702491319444448,5.940498263888889
BeF2,NaN,Pure Salt,,,1.972,1.45e-05,,,,,,,,,,"{'Be': 0.3333333333333333, 'F': 0.6666666666666666}","{'Be': 5.6, 'F': 0.557}","{'Be': 9.012, 'F': 18.998}","{'Be': 1.57, 'F': 3.98}","{'Be': '2+', 'F': '1-'}","{'Be': 1.12, 'F': 0.42}","{'Be': 1.05, 'F': 0.5}","{'Be': 0.9, 'F': 0.71}","{'Be': 899.5, 'F': 1681.0}","{'Be': 'Be', 'F': 'F'}",1.96,3.8987951388888886,1.2995983796296295
BeF2-KF,NaN,0.5-0.5,,,,,0.00515,58040.16,,,,,,,,"{'Be': 0.2, 'F': 0.6, 'K': 0.2}","{'Be': 5.6, 'F': 0.557, 'K': 43.4}","{'Be': 9.012, 'F': 18.998, 'K': 39.098}","{'Be': 1.57, 'F': 3.98, 'K': 0.82}","{'Be': '2+', 'F': '1-', 'K': '1+'}","{'Be': 1.12, 'F': 0.42, 'K': 2.43}","{'Be': 1.05, 'F': 0.5, 'K': 2.2}","{'Be': 0.9, 'F': 0.71, 'K': 1.96}","{'Be': 899.5, 'F': 1681.0, 'K': 418.8}","{'Be': 'Be', 'F': 'F', 'K': 'K'}",4.8100000000000005,43.77224826388888,8.754449652777776
BeF2-KF,NaN,0.79-0.21,,,,,2.2,,,,,,,,,"{'Be': 0.2831541218637993, 'F': 0.6415770609318997, 'K': 0.07526881720430108}","{'Be': 5.6, 'F': 0.557, 'K': 43.4}","{'Be': 9.012, 'F': 18.998, 'K': 39.098}","{'Be': 1.57, 'F': 3.98, 'K': 0.82}","{'Be': '2+', 'F': '1-', 'K': '1+'}","{'Be': 1.12, 'F': 0.42, 'K': 2.43}","{'Be': 1.05, 'F': 0.5, 'K': 2.2}","{'Be': 0.9, 'F': 0.71, 'K': 1.96}","{'Be': 899.5, 'F': 1681.0, 'K': 418.8}","{'Be': 'Be', 'F': 'F', 'K': 'K'}",4.8100000000000005,43.77224826388888,8.754449652777776
BeF2-LiF,NaN,0.34-0.66,,,2.413,0.000488,,,,,,,,,,"{'Be': 0.14529914529914528, 'F': 0.5726495726495726, 'Li': 0.28205128205128205}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.36-0.64,,,,,0.0594,38284.24,,,,,,,,"{'Be': 0.15254237288135594, 'F': 0.576271186440678, 'Li': 0.2711864406779661}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.45-0.55,,,,,0.0207,49581.23,,,,,,,,"{'Be': 0.18367346938775508, 'F': 0.5918367346938775, 'Li': 0.22448979591836735}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.5-0.5,,,,,0.00845,58702.5,,,,,,,,"{'Be': 0.2, 'F': 0.6, 'Li': 0.2}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.502-0.498,,,2.349,0.000424,,,,,,,,,,"{'Be': 0.2006394884092726, 'F': 0.6003197442046363, 'Li': 0.19904076738609114}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.5501-0.4499,,,,,0.00627,64685.72,,,,,,,,"{'Be': 0.21571703070467826, 'F': 0.6078585153523391, 'Li': 0.17642445394298265}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.6-0.4,,,,,,,,,,,,,,"{'Be': 0.23076923076923075, 'F': 0.6153846153846154, 'Li': 0.15384615384615385}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.65-0.35,,,,,,,,,,,,,,"{'Be': 0.24528301886792456, 'F': 0.6226415094339622, 'Li': 0.1320754716981132}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.7-0.3,,,,,,,,,,,,,,"{'Be': 0.25925925925925924, 'F': 0.6296296296296297, 'Li': 0.11111111111111112}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.749-0.251,,,2.158,0.000239,,,,,,,,,,"{'Be': 0.2724627137140778, 'F': 0.6362313568570389, 'Li': 0.09130592942888323}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.75-0.25,,,,,,,,,,,,,,"{'Be': 0.2727272727272727, 'F': 0.6363636363636364, 'Li': 0.09090909090909091}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.7999-0.2001,,,,,,,,,,,,,,"{'Be': 0.28568877459909287, 'F': 0.6428443872995464, 'Li': 0.07146683810136076}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.85-0.15,,,,,,,,,,,,,,"{'Be': 0.29824561403508776, 'F': 0.6491228070175439, 'Li': 0.052631578947368425}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.892-0.108,,,2.075,0.000148,,,,,,,,,,"{'Be': 0.3084370677731673, 'F': 0.6542185338865837, 'Li': 0.037344398340248955}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.9002-0.0998,,,,,,,,,,,,,,"{'Be': 0.3103923867319495, 'F': 0.6551961933659748, 'Li': 0.03441141990207572}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.9102-0.0898,,,,,,,,,,,,,,"{'Be': 0.3127620094838843, 'F': 0.6563810047419422, 'Li': 0.030856985774173597}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.9301-0.0699,,,,,,,,,,,,,,"{'Be': 0.3174294392682843, 'F': 0.6587147196341422, 'Li': 0.02385584109757346}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.9491-0.0509,,,,,,,,,,,,,,"{'Be': 0.32182699806720694, 'F': 0.6609134990336035, 'Li': 0.017259502899189583}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.9601-0.0399,,,,,,,,,,,,,,"{'Be': 0.32434715043410695, 'F': 0.6621735752170536, 'Li': 0.013479274348839566}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.97-0.03,,,,,,,,,,,,,,"{'Be': 0.3265993265993266, 'F': 0.6632996632996634, 'Li': 0.010101010101010102}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.9801-0.0199,,,,,,,,,,,,,,"{'Be': 0.32888158115499483, 'F': 0.6644407905774975, 'Li': 0.006677628267507803}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,0.9901-0.0099,,,,,,,,,,,,,,"{'Be': 0.33112604929601014, 'F': 0.6655630246480051, 'Li': 0.00331092605598475}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-LiF,NaN,1.0-0.0,,,,,,,,,,,,,,"{'Be': 0.3333333333333333, 'F': 0.6666666666666666, 'Li': 0.0}","{'Be': 5.6, 'F': 0.557, 'Li': 24.3}","{'Be': 9.012, 'F': 18.998, 'Li': 6.941}","{'Be': 1.57, 'F': 3.98, 'Li': 0.98}","{'Be': '2+', 'F': '1-', 'Li': '1+'}","{'Be': 1.12, 'F': 0.42, 'Li': 1.67}","{'Be': 1.05, 'F': 0.5, 'Li': 1.45}","{'Be': 0.9, 'F': 0.71, 'Li': 1.34}","{'Be': 899.5, 'F': 1681.0, 'Li': 520.2}","{'Be': 'Be', 'F': 'F', 'Li': 'Li'}",4.05,18.27249826388889,3.6544996527777784
BeF2-NaF,NaN,0.2-0.8,,,2.024,,,,,,,,,,,"{'Be': 0.09090909090909091, 'F': 0.5454545454545455, 'Na': 0.36363636363636365}","{'Be': 5.6, 'F': 0.557, 'Na': 23.6}","{'Be': 9.012, 'F': 18.998, 'Na': 22.99}","{'Be': 1.57, 'F': 3.98, 'Na': 0.93}","{'Be': '2+', 'F': '1-', 'Na': '1+'}","{'Be': 1.12, 'F': 0.42, 'Na': 1.9}","{'Be': 1.05, 'F': 0.5, 'Na': 1.8}","{'Be': 0.9, 'F': 0.71, 'Na': 1.54}","{'Be': 899.5, 'F': 1681.0, 'Na': 495.8}","{'Be': 'Be', 'F': 'F', 'Na': 'Na'}",4.279999999999999,24.434303819444445,4.886860763888889
BeF2-NaF,NaN,0.24-0.76,,,2.018,,,,,,,,,,,"{'Be': 0.10714285714285712, 'F': 0.5535714285714285, 'Na': 0.33928571428571425}","{'Be': 5.6, 'F': 0.557, 'Na': 23.6}","{'Be': 9.012, 'F': 18.998, 'Na': 22.99}","{'Be': 1.57, 'F': 3.98, 'Na': 0.93}","{'Be': '2+', 'F': '1-', 'Na': '1+'}","{'Be': 1.12, 'F': 0.42, 'Na': 1.9}","{'Be': 1.05, 'F': 0.5, 'Na': 1.8}","{'Be': 0.9, 'F': 0.71, 'Na': 1.54}","{'Be': 899.5, 'F': 1681.0, 'Na': 495.8}","{'Be': 'Be', 'F': 'F', 'Na': 'Na'}",4.279999999999999,24.434303819444445,4.886860763888889
