System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
NdCl3,18,250.599,Pure Salt,1031,2,Druding 1961 [49],1897,10,Glushko 1972 [61],4.26E+00,9.30E-04,1082-1272,3,Cho 1972 [38],8.51E-02,3.69E+04,----,----,----,1030-1237,3,Hayashi 1997 [63],----,----,----,----,----,----,----,----,----,----,----
NdF3,19,201.2352,Pure Salt,1650,3,Spedding 1971 [132],2573,----,Knacke 1991 [82],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,1.84E+02,-4.44E-03,-11924400,----,----,Spedding 1971 [131]
NpCl3,20,343.359,Pure Salt,1075,30,Lemire 2001 [89],1800,----,Barin 1977 [8],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NpF3,21,293.9952,Pure Salt,1735,30,Lemire 2001 [89],2500,----,Barin 1977 [8],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
PuCl3,22,350.359,Pure Salt,1040,2,Bjorklund 1959 [13],2063,----,Barin 1977 [8],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,144,----,----,----,----,Serp 2004 [159]
PuF3,23,300.9952,Pure Salt,1699,2,Westrum 1951 [147],2493,----,Barin 1977 [8],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,130,----,----,----,----,Capelli 2015 [160]
SrCl2,24,158.526,Pure Salt,1146,2,Dworkin 1963 [52],2310,50,Glushko 1972 [61],3.39E+00,5.78E-04,1167.2-1310.2,5,Yaffe 1956 [152],----,----,-4.39E-01,3.98E+02,8.79E+05,1152-1318,1,Toerklep 1982 [140],5.16E-01,-1.18E-04,1148.15-1800,20,Gheribi 2014 [58],----,----,----,----,----,----
SrF2,25,125.6168,Pure Salt,1746,5,Kojima 1968 [83],2762,----,Ruff 1928 [123],4.78E+00,7.51E-04,1750-2200,3,Kirshenbaum 1960 [80],7.03E-02,5.45E+04,----,----,----,1743.4-1864.6,3,Takeda 2015 [135],5.17E-01,-7.25E-05,1673.15-2000,20,Gheribi 2014 [58],----,----,----,----,----,----
ThCl4,26,373.8501,Pure Salt,1043,2,Fischer  1939 [57],1195,----,Fischer  1939 [57],4.82E+00,1.40E-03,1050-1120,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
ThF4,27,308.0317,Pure Salt,1384,3,Soucek 2017 [130],----,----,----,7.11E+00,7.59E-04,1393-1651,3,Kirshenbaum 1961 [79],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
UCl3,28,344.3879,Pure Salt,1114,3,Borowitz 1971 [24],2000,----,Knacke 1991 [82],6.27E+00,1.52E-03,1116-1300,2,Parker 2022 [110],4.78E-01,1.09E+04,----,----,----,1128-1278,15*,Desyatnik 1975 [167],----,----,----,----,----,150,----,----,----,----,Yingling 2023 [158]
UCl4,29,379.8409,Pure Salt,861,5,Johnson 1944 [71],1075,----,Johnson 1944 [71],5.63E+00,2.29E-03,891-968,5,Katyshev 1982 [76],3.46E-03,5.07E+04,----,----,----,870-1003,15*,Katyshev 1982 [168],----,----,----,----,----,----,----,----,----,----,----
UF3,30,295.0241,Pure Salt,1768.2,20,DEye 1957 [43],2550,----,Glushko 1994 [60],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,130,----,----,----,----,Beilmann 2013 [11]
UF4,31,314.0225,Pure Salt,1309,2,Langer 1960 [88],1723,----,Langer 1960 [88],7.78E+00,9.92E-04,1309-1614,3,Kirshenbaum 1961 [79],----,----,1.14E+01,-3.54E+04,2.77E+07,1338-1618,10,Kulifeev 1971 [86],----,----,----,----,----,174.74,----,----,----,----,Capelli 2015 [160]
ZrCl4,32,233.036,Pure Salt,710,2,Rahlfs 1933 [115],604,----,Rahlfs 1933 [115],6.94E+00,7.47E-03,710-765,1,Nisel'son 1962 [104],5.10E-07,8.01E+04,----,----,----,710-760,2,Nisel'son 1965 [105],----,----,----,----,----,----,----,----,----,----,----
ZrF4,33,167.2176,Pure Salt,1191,----,Sense 1956 [126],1173,----,Sense 1956 [126],5.36E+00,1.23E-03,1200-1280,5,Artemov 1990 [5],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-AlCl3,34,121.5827,0.20-0.80,452,10,Robelin 2004 [119],----,----,----,2.03E+00,1.00E-03,480-540,1,Morrey 1968 [97],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-AlCl3,35,113.7637,0.333-0.667,414,5*,Robelin 2004 [119],----,----,----,1.99E+00,7.90E-04,500-780,1,Morrey 1968 [97],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-AlCl3,36,103.9459,0.50-0.50,531,5*,Robelin 2004 [119],----,----,----,1.96E+00,6.62E-04,740-1040,1,Morrey 1968 [97],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-AlCl3,37,94.1281,0.667-0.333,905,10,Robelin 2004 [119],----,----,----,1.97E+00,6.10E-04,960-1040,1,Morrey 1968 [97],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-AlCl3,38,89.6601,0.743-0.257,942,10,Robelin 2004 [119],----,----,----,----,----,----,----,----,1.97E-02,3.19E+04,----,----,----,----,15*,Borisoglebskii 1980 [22],----,----,----,----,----,----,----,----,----,----,----
