System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
KF-LiF,98,32.3709,0.20-0.80,1013,5*,Aukrust 1960 [6],----,----,----,2.42,0.000524,1082-1286,1,Taniuchi 1977 [136],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-LiF,99,35.5866,0.30-0.70,939,5*,Aukrust 1960 [6],----,----,----,2.46E+00,5.49E-04,1019-1293,1,Taniuchi 1977 [136],0.0882,26193,----,----,----,940-1090,15,Nguyen 2000 [169],----,----,----,----,----,----,----,----,----,----,----
KF-LiF,100,38.8023,0.40-0.60,852,5*,Aukrust 1960 [6],----,----,----,2.52E+00,5.89E-04,1006-1296,1,Taniuchi 1977 [136],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-LiF,101,42.018,0.50-0.50,779,5*,Aukrust 1960 [6],----,----,----,----,----,----,----,----,0.0697,27738,----,----,----,830-970,15,Nguyen 2000 [169],----,----,----,----,----,----,----,----,----,----,----
KF-LiF,102,45.2338,0.60-0.40,890,5*,Aukrust 1960 [6],----,----,----,2.58E+00,6.27E-04,1064-1305,1,Taniuchi 1977 [136],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-LiF,103,46.842,0.65-0.35,935,5*,Aukrust 1960 [6],----,----,----,----,----,----,----,----,0.0683,27657,----,----,----,930-1060,15,Nguyen 2000 [169],----,----,----,----,----,----,----,----,----,----,----
KF-LiF,104,51.6652,0.80-0.20,1034,5*,Aukrust 1960 [6],----,----,----,2.63E+00,6.54E-04,1154-1301,1,Taniuchi 1977 [136],7.78E-02,2.63E+04,----,----,----,1038-1180,15,Nguyen 2000 [169],----,----,----,----,----,----,----,----,----,----,----
LiCl-KCl,105,68.1198,0.20-0.80,961,5*,Yingling 2023 [161],----,----,----,2.12,0.000578,980-1120,0.5,Van Artsdalen 1955 [144],7.04E-02,2.39E+04,----,----,----,970-1080,11,Borcan 1970 [23],----,----,----,----,----,----,----,----,----,----,----
LiCl-KCl,106,64.9041,0.30-0.70,904,5*,Yingling 2023 [161],----,----,----,----,----,----,----,----,9.19E-02,2.13E+04,----,----,----,920-1080,11,Borcan 1970 [23],----,----,----,----,----,----,----,----,----,----,----
LiCl-KCl,107,61.6884,0.40-0.60,831,5*,Yingling 2023 [161],----,----,----,2.08,0.000561,860-1000,0.5,Van Artsdalen 1955 [144],7.79E-02,2.23E+04,----,----,----,920-1070,11,Borcan 1970 [23],----,----,----,----,----,----,----,----,----,----,----
LiCl-KCl,108,58.4727,0.50-0.50,738,5*,Yingling 2023 [161],----,----,----,----,----,----,----,----,0.0786,22000,----,----,----,930-1070,11,Borcan 1970 [23],----,----,----,----,----,----,----,----,----,----,----
LiCl-KCl,109,55.8358,0.582-0.418,644,5*,Yingling 2023 [161],1673,----,Williams  2006 [149],2.03,0.000528,668-866,0.5,Van Artsdalen 1955 [144],----,----,----,----,----,----,----,----,----,----,----,----,----,70.9,----,----,----,----,Redkin 2017 [118]
LiCl-KCl,110,55.2569,0.60-0.40,645,5*,Yingling 2023 [161],----,----,----,----,----,----,----,----,0.087,20900,----,----,----,890-1070,11,Borcan 1970 [23],----,----,----,----,----,----,----,----,----,----,----
LiCl-KCl,111,52.0412,0.70-0.30,717,5*,Yingling 2023 [161],----,----,----,2,0.000507,740-860,0.5,Van Artsdalen 1955 [144],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-KCl,112,48.8255,0.80-0.20,787,5*,Yingling 2023 [161],----,----,----,----,----,----,----,----,0.0889,20800,----,----,----,910-1070,11,Borcan 1970 [23],----,----,----,----,----,----,----,----,----,----,----
LiCl-KCl,113,48.2563,0.8177-0.1823,798,5*,Yingling 2023 [161],----,----,----,1.97,4.89E-04,820-920,0.5,Van Artsdalen 1955 [144],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl,114,45.6038,0.2-0.8,830,5*,SALTDBLEAN-TC [156],----,----,----,1.9123,4.53E-04,1045-1255,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl,115,47.2086,0.3-0.7,828,5*,SALTDBLEAN-TC [156],----,----,----,1.9421,4.69E-04,980-1207,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl,116,50.4184,0.5-0.5,909,5*,SALTDBLEAN-TC [156],----,----,----,1.9625,4.76E-04,901-1143,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl,117,53.6281,0.7-0.3,983,5*,SALTDBLEAN-TC [156],----,----,----,1.9989,4.83E-04,850-1100,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl,118,55.233,0.8-0.2,1019,5*,SALTDBLEAN-TC [156],----,----,----,2.0489,5.01E-04,863-1110,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl,119,56.8379,0.9-0.1,1045,5*,SALTDBLEAN-TC [156],----,----,----,2.0877,0.000524,880-1115,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,120,46.7983,0.01-0.99,814,15,Benes 2009 [14],----,----,----,----,----,----,----,----,1.53E-06,2.17E+05,----,----,----,980-1240,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,121,46.5876,0.02-0.98,804,15,Benes 2009 [14],----,----,----,----,----,----,----,----,6.62E-06,1.98E+05,----,----,----,900-1240,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,122,46.3769,0.03-0.97,796,15,Benes 2009 [14],----,----,----,----,----,----,----,----,2.31E-05,1.84E+05,----,----,----,880-1180,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,123,46.1662,0.04-0.96,788,15,Benes 2009 [14],----,----,----,----,----,----,----,----,6.05E-05,1.71E+05,----,----,----,880-1080,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,124,45.9555,0.05-0.95,782,15,Benes 2009 [14],----,----,----,----,----,----,----,----,7.69E-05,1.65E+05,----,----,----,840-1100,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,125,45.5341,0.07-0.93,774,15,Benes 2009 [14],----,----,----,----,----,----,----,----,1.05E-04,1.57E+05,----,----,----,860-1100,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,126,45.1127,0.09-0.91,769,15,Benes 2009 [14],----,----,----,----,----,----,----,----,1.99E-04,1.46E+05,----,----,----,820-1100,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,127,44.902,0.10-0.90,768,15,Benes 2009 [14],----,----,----,----,----,----,----,----,0.000171,144000,----,----,----,880-1120,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,128,44.6913,0.11-0.89,768,15,Benes 2009 [14],----,----,----,2.08,0.000148,1020-1130,0.3,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,129,43.8486,0.15-0.85,772,15,Benes 2009 [14],----,----,----,----,----,----,----,----,4.57E-04,1.25E+05,----,----,----,820-1000,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,130,42.7951,0.20-0.80,778,15,Benes 2009 [14],----,----,----,----,----,----,----,----,5.98E-04,1.15E+05,----,----,----,840-980,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,131,41.7416,0.25-0.75,778,5*,Benes 2009 [14],----,----,----,2.16,0.000239,860-1130,0.3,Cantor 1969 [33],9.20E-04,1.03E+05,----,----,----,780-960,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,132,40.6881,0.30-0.70,771,5*,Benes 2009 [14],----,----,----,----,----,----,----,----,2.02E-03,8.99E+04,----,----,----,760-940,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,133,39.6346,0.35-0.65,750,5*,Benes 2009 [14],----,----,----,----,----,----,----,----,3.11E-03,8.04E+04,----,----,----,740-980,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,134,38.5812,0.40-0.60,714,5*,Benes 2009 [14],----,----,----,----,----,----,----,----,4.21E-03,7.25E+04,----,----,----,720-840,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,135,37.5277,0.45-0.55,661,5*,Benes 2009 [14],----,----,----,----,----,----,----,----,6.27E-03,6.47E+04,----,----,----,680-840,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,136,36.4742,0.50-0.50,654,5*,Benes 2009 [14],----,----,----,2.35,0.000424,800-1080,0.3,Cantor 1969 [33],8.45E-03,5.87E+04,----,----,----,660-840,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,137,35.4207,0.55-0.45,686,5*,Benes 2009 [14],----,----,----,----,----,----,----,----,0.0207,49600,----,----,----,700-820,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,138,34.3672,0.60-0.40,715,5*,Benes 2009 [14],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,139,33.5245,0.64-0.36,730,5*,Benes 2009 [14],----,----,----,----,----,----,----,----,5.94E-02,3.83E+04,----,----,----,740-860,15,Cantor 1969 [33],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2,140,33.1031,0.66-0.34,733,5*,Benes 2009 [14],1673,----,Jerden 2019 [70],2.41E+00,4.88E-04,787.7-1093.5,1,Cantor 1973 [29],1.16E-01,3.12E+04,----,----,----,873-1073,15,Cantor 1968 [32],1.1,----,773-1173,25,Rosenthal 1969 [122],79.9,----,----,----,1.4,Rosenthal 1969 [122]
LiF-BeF2,141,32.471,0.69-0.31,783,5*,Benes 2009 [14],----,----,----,----,----,----,----,----,1.18E-01,3.01E+04,----,----,----,873-1073,10,Cohen 1957 [42],----,----,----,----,----,----,----,----,----,----,----
LiF-RbF,142,70.6997,0.43-0.57,748,5*,Cohen 1957 [42],----,----,----,3.30E+00,6.90E-04,----,5,Powers 1963 [114],0.0212,38900,----,----,----,773-923,10,Cohen 1957 [42],----,----,----,----,----,117,-0.0479,----,----,10,Powers 1963 [114]
LiF-ThF4,143,78.5214,0.8136-0.1864,919,5*,Benes 2010 [15],----,----,----,4.89E+00,9.20E-04,1040-1220,1,Hill 1967 [64],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ThF4,144,82.3579,0.80-0.20,894,5*,Benes 2010 [15],----,----,----,4.79E+00,8.44E-04,1020-1220,1,Hill 1967 [64],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ThF4,145,138.7763,0.60-0.40,1043,5*,Benes 2010 [15],----,----,----,6.16E+00,1.04E-03,1080-1260,1,Hill 1967 [64],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ThF4,146,195.1948,0.40-0.60,1201,5*,Benes 2010 [15],----,----,----,6.93E+00,1.12E-03,1220-1360,1,Hill 1967 [64],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ThF4,147,251.6133,0.20-0.80,1304,5*,Benes 2010 [15],----,----,----,7.35E+00,1.04E-03,1320-1440,1,Hill 1967 [64],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-UF4,148,198.7893,0.40-0.60,1073,5*,Benes 2010 [15],----,----,----,7.89E+00,1.69E-03,1100-1340,1,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-UF4,149,169.981,0.50-0.50,999,5*,Benes 2010 [15],----,----,----,6.96,0.00128,1040-1340,1,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-UF4,150,161.3385,0.53-0.47,971,5*,Benes 2010 [15],----,----,----,----,----,----,----,----,0.079,43000,----,----,----,973-1073,5,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-UF4,151,141.1727,0.60-0.40,884,5*,Benes 2010 [15],----,----,----,6.39,0.00117,980-1340,1,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-UF4,152,126.7685,0.65-0.35,858,5*,Benes 2010 [15],----,----,----,----,----,----,----,----,0.17,36400,----,----,----,973-1073,5,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-UF4,153,105.1623,0.725-0.275,771,5*,Benes 2010 [15],----,----,----,6.11,0.00127,980-1340,1,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-UF4,154,83.556,0.80-0.20,908,5*,Benes 2010 [15],----,----,----,----,----,----,----,----,0.0441,42900,----,----,----,973-1073,5,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-UF4,155,69.1519,0.85-0.15,996,5*,Benes 2010 [15],----,----,----,4.46E+00,7.29E-04,1020-1340,1,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,156,124.8341,0.30-0.70,996,5*,Thoma 1960 [139],----,----,----,4.74E+00,1.32E-03,1053-1133,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,157,110.7063,0.40-0.60,911,5*,Thoma 1960 [139],----,----,----,4.49E+00,1.25E-03,1003-1133,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,158,96.5785,0.50-0.50,787,5*,Thoma 1960 [139],----,----,----,4.42E+00,1.30E-03,943-1073,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,159,82.4507,0.60-0.40,848,5*,Thoma 1960 [139],----,----,----,3.88E+00,9.12E-04,993-1103,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,160,68.3229,0.70-0.30,846,5*,Thoma 1960 [139],----,----,----,3.82E+00,1.01E-03,973-1133,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,161,61.259,0.75-0.25,930,5*,Thoma 1960 [139],----,----,----,3.68E+00,9.00E-04,1013-1083,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,162,57.5857,0.776-0.224,910,5*,Thoma 1960 [139],----,----,----,3.21E+00,5.62E-04,1055-1145,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,163,54.195,0.80-0.20,891,5*,Thoma 1960 [139],----,----,----,3.19E+00,6.00E-04,1073-1153,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,164,52.641,0.811-0.189,909,5*,Thoma 1960 [139],----,----,----,3.25E+00,6.83E-04,1045-1135,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,165,48.4026,0.841-0.159,957,5*,Thoma 1960 [139],----,----,----,3.29E+00,7.75E-04,1051-1140,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,166,47.1311,0.85-0.15,971,5*,Thoma 1960 [139],----,----,----,3.25E+00,7.50E-04,1043-1133,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,167,44.8707,0.866-0.134,991,5*,Thoma 1960 [139],----,----,----,3.23E+00,7.55E-04,1070-1162,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,168,41.9038,0.887-0.113,1016,5*,Thoma 1960 [139],----,----,----,3.18E+00,7.98E-04,1070-1158,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,169,40.0672,0.90-0.10,1031,5*,Thoma 1960 [139],----,----,----,3.00E+00,6.35E-04,1063-1143,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,170,39.2196,0.906-0.094,1037,5*,Thoma 1960 [139],----,----,----,2.88E+00,5.67E-04,1091-1185,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,171,36.8178,0.923-0.077,1057,5*,Thoma 1960 [139],----,----,----,3.34E+00,1.03E-03,1103-1200,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,172,34.6987,0.938-0.062,1069,5*,Thoma 1960 [139],----,----,----,3.32E+00,1.08E-03,1097-1203,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,173,32.862,0.951-0.049,1079,5*,Thoma 1960 [139],----,----,----,3.02E+00,8.81E-04,1103-1213,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,174,31.1667,0.963-0.037,1089,5*,Thoma 1960 [139],----,----,----,3.30E+00,1.16E-03,1100-1207,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-ZrF4,175,28.3411,0.983-0.017,1102,5*,Thoma 1960 [139],----,----,----,3.44E+00,1.38E-03,1130-1185,1,Katyshev 1987 [75],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-KF,176,56.1637,0.12-0.88,1091,5*,Sangster 1987 [133],----,----,----,1.87E+00,1.01E-04,1095-1350,3,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-KF,177,54.0696,0.25-0.75,1047,5*,Sangster 1987 [133],----,----,----,2.11E+00,2.85E-04,1065-1350,3,Porter 1966 [112],0.0768,27462,----,----,----,1133-1273,5,Kubikova 2008 [170],----,----,----,----,----,----,----,----,----,----,----
NaF-KF,178,51.6533,0.40-0.60,999,5*,Sangster 1987 [133],----,----,----,2.57E+00,6.00E-04,1050-1250,3,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-KF,179,50.042,0.50-0.50,1048,5*,Sangster 1987 [133],----,----,----,----,----,----,----,----,0.0926,26855,----,----,----,1233-1273,5,Kubikova 2008 [170],----,----,----,----,----,----,----,----,----,----,----
NaF-KF,180,48.4316,0.60-0.40,1095,5*,Sangster 1987 [133],----,----,----,2.53,0.000564,1125-1350,3,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-KF,181,46.015,0.75-0.25,1163,5*,Sangster 1987 [133],----,----,----,----,----,----,----,----,0.111,26232,----,----,----,1120-1253,5,Kubikova 2008 [170],----,----,----,----,----,----,----,----,----,----,----
NaF-KF,182,45.2099,0.80-0.20,1184,5*,Sangster 1987 [133],----,----,----,2.6,0.000588,1200-1350,3,Porter 1966 [112],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,183,63.5527,0.95-0.05,----,----,----,----,----,----,2.737,0.000656,1118-1199,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,184,69.0088,0.9-0.1,----,----,----,----,----,----,2.8284,0.000632,1113-1193,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,185,72.2824,0.87-0.13,----,----,----,----,----,----,3.0937,0.000794,1060-1198,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,186,79.9209,0.8-0.2,----,----,----,----,----,----,3.1491,0.000734,1093-1193,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,187,90.833,0.7-0.3,----,----,----,----,----,----,3.3373,0.00074,1073-1153,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,188,101.7451,0.6-0.4,----,----,----,----,----,----,3.7062,0.000929,1033-1213,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,189,112.6572,0.5-0.5,----,----,----,----,----,----,3.8372,0.000892,933-1133,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,190,123.5692,0.4-0.6,----,----,----,----,----,----,3.9815,0.000851,953-1073,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,191,129.0253,0.35-0.65,----,----,----,----,----,----,3.878,0.000822,999-1163,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,192,134.4813,0.3-0.7,----,----,----,----,----,----,4.3678,0.001017,1003-1173,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-ZrF4,193,145.3934,0.2-0.8,----,----,----,----,----,----,4.6945,0.001084,1054-1178,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,194,43.6336,0.1-0.9,----,----,----,----,----,----,2.5583,0.000551,1213-1333,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,195,45.2791,0.2-0.8,----,----,----,----,----,----,2.5232,0.00059,1203-1313,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,196,46.9246,0.3-0.7,----,----,----,----,----,----,2.4333,0.000569,1203-1313,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,197,48.57,0.4-0.6,----,----,----,----,----,----,2.3593,0.000558,1193-1293,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,198,50.2155,0.5-0.5,----,----,----,----,----,----,2.3152,0.000561,1173-1293,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,199,51.8609,0.6-0.4,----,----,----,----,----,----,2.2777,0.000566,1173-1293,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,200,53.5064,0.7-0.3,----,----,----,----,----,----,2.23E+00,5.59E-04,1113-1253,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,201,55.1519,0.8-0.2,----,----,----,----,----,----,2.215,0.000569,1113-1233,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-NaF,202,56.7973,0.9-0.1,----,----,----,----,----,----,2.1577,0.000541,1073-1193,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,203,113.1181,0.27-0.73,449,5*,Robelin 2004 [119],----,----,----,2.01E+00,9.20E-04,460-610,1,Boston 1966 [25],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,204,107.5008,0.345-0.655,415,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,9.78E-02,1.40E+04,----,----,----,500-570,15*,Kryagova 1939 [85],----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,205,107.2761,0.348-0.652,413,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,9.68E-02,1.38E+04,----,----,----,480-570,15*,Kryagova 1939 [85],----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,206,104.7296,0.382-0.618,388,5*,Robelin 2004 [119],----,----,----,2.03,0.000866,440-540,1,Boston 1966 [25],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,207,104.0555,0.391-0.609,384,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,0.118,12900,----,----,----,480-570,15*,Kryagova 1939 [85],----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,208,102.932,0.406-0.594,393,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,8.64E-02,1.39E+04,----,----,----,480-570,15*,Kryagova 1939 [85],----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,209,100.6851,0.436-0.564,407,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,5.62E-02,1.51E+04,----,----,----,480-540,15*,Kryagova 1939 [85],----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,210,97.3896,0.48-0.52,424,5*,Robelin 2004 [119],----,----,----,2.07,0.000838,400-560,1,Boston 1966 [25],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,211,97.2398,0.482-0.518,424,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,5.69E-02,1.49E+04,----,----,----,480-540,15*,Kryagova 1939 [85],----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,212,96.4159,0.493-0.507,428,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,0.0689,14200,----,----,----,480-540,15*,Kryagova 1939 [85],----,----,----,----,----,----,----,----,----,----,----
NaCl-AlCl3,213,96.0414,0.498-0.502,430,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,8.99E-02,1.35E+04,----,----,----,480-570,15*,Kryagova 1939 [85],----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,214,91.5342,0.10-0.90,966,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,0.145,21700,----,----,----,1023-1073,15,Bondarenko 1965 [20],----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,215,88.703,0.177-0.823,942,5*,Chartrand 2001 [35],----,----,----,2.15,0.000444,1020-1110,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,216,87.8574,0.20-0.80,934,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,0.109,23500,----,----,----,973-1073,15,Bondarenko 1965 [20],----,----,----,----,----,----,----,----,----,----,----
